Key,Page,English,Thai,Armenian,Russian,Arabic,Farsi,Georgian
welcome.popup.inviteSubscribers.subtitle,welcome,Our templates make it simple in case you invite potential subscribers.,รูปแบบการใช้งานของเรา ถูกออกแบบมาให้ง่ายต่อการส่งคำเชิญไปยังผู้ที่มีโอกาสติดตามคุณ,,,,,
welcome.popup.createNotification.subtitle,welcome,This is the first notification that your subscribers will see when they subscribe,นี่เป็นการแจ้งเตือนครั้งแรกที่ผู้ติดตามคุณจะได้รับเมื่อพวกเขากดติดตามเพื่อรับข้อมูลสถานที่ของคุณ,,,,,
welcome.popup.firstNotification.subtitle,welcome,Yay!,ยินดีด้วย!,,,,,
welcome.popup.verifyEmail.content1,welcome,"If we don’t have your correct email address, we cannot send important account-related emails to you.  So, please make sure that your email address is correct and always up to date.  Also, it’s best to use an email address related to your business.",หากเราไม่ได้รับที่อยู่อีเมล์ที่ถูกต้องจากคุณ เราจะไม่สามารถส่งข้อมูลสำคัญที่เกี่ยวข้องกับบัญชีของคุณไปยังอีเมล์ของคุณได้ ดังนั้นโปรดตรวจสอบใ่ห้แน่ใจว่า ที่อยู่อีเมล์ของคุณเป็นที่อยู่อีเมล์ที่ถูกต้อง และที่อยู่อีเมล์ที่เราแนะนำคือที่อยู่อีเมล์ที่เกี่ยวข้องกับธุรกิจของคุณ,,,,,
welcome.popup.completeProfile.content1,welcome,"Please provide as much detail as you can for your profile and make sure that it is correct at all times.  When your subscribers see your place in the NotifyMe app, they should always see up to date information.",โปรดกรอกข้อมูลโปรไฟล์ของคุณให้ละเอียดที่สุดเท่าที่คุณจะสามารถให้ข้อมูลได้ และโปรดตรวจสอบให้แน่ใจว่าข้อมูลที่คุณกรอกเป็นข้อมูลที่ถูกต้อง เมื่อผู้ติดตามคุณ เห็นสถานที่ของคุณในแอปพลิเคชั่น NotifyMe พวกเขาควรได้รับทราบข้อมูลที่ถูกต้องเสมอ,,,,,
welcome.popup.createGroups.content1,welcome,NotifyMe relies on Groups for many of its core operations.,NotifyMe อาศัยกลุ่มสำหรับการดำเนินการหลักหลายอย่าง,,,,,
welcome.popup.createGroups.content2,welcome,"For Example, when you create team members to help you manage notifications, you will assign them roles.  All roles in NotifyMe are given group privileges for sending Notifications.",ตัวอย่างเช่นเมื่อคุณสร้างสมาชิกในทีมเพื่อช่วยคุณจัดการการแจ้งเตือนคุณจะกำหนดบทบาทให้พวกเขา บทบาททั้งหมดใน NotifyMe จะได้รับสิทธิ์การเข้าถึงกลุ่มในการส่งการแจ้งเตือน,,,,,
welcome.popup.createGroups.content3,welcome,"We encourage you to be as granular as possible with Groups and Subgroups. The reason for this is that with a granular division of Subscribers into Groups, you can ensure that each notification is targeted as specific as possible and cut down on subscribers receiving irrelevant notifications.",เราขอแนะนำให้คุณแบ่งกลุ่มหลักและกลุ่มย่อย ให้ละเอียดที่สุดเท่าที่จะทำได้ เหตุผลในการแบ่งกลุ่มอย่างละเอียด คือคุณสามารถตรวจสอบให้แน่ใจว่าการแจ้งเตือนแต่ละรายการ มีการกำหนดเป้าหมายเฉพาะเจาะจงที่สุดและตรงกับผู้รับการแจ้งเตือนมากที่สุด อีกทั้งยังสามารถลดจำนวนการรับการแจ้งเตือนที่ไม่เกี่ยวข้องได้อีกด้วย,,,,,
welcome.popup.createGroups.content4,welcome,"Also, when you create notifications and pin them to proximity beacons, those notifications are sent to groups.",นอกจากนี้เมื่อคุณสร้างการแจ้งเตือนและปักหมุดไว้ที่บีคอน การแจ้งเตือนเหล่านั้นจะถูกส่งไปยังกลุ่มนั้นๆได้เช่นกัน เมื่อพวกเขาอยู่ในรัศมีของบีคอน,,,,,
welcome.popup.buildSubscribers.content1,welcome,"Throughout the NotifyMe system, we refer to the people who subscribe to your notifications as subscribers.  This nomenclature does not fit all organizational scenarios but it is generally accurate (e.g. You send out Notifications to your groups of subscribers and they receive them).",ตลอดทั้งระบบ NotifyMe ผู้ที่สมัครรับการแจ้งเตือนของคุณ  เรากล่าวถึงในฐานะผู้ติดตามคุณ ระบบอาจนี้ไม่เหมาะกับทุกบริบทขององค์กรของคุณ แต่โดยทั่วไปแล้วมีความถูกต้องแม่นยำในการแจ้งเตือน (เช่นคุณส่งการแจ้งเตือนไปยังกลุ่มสมาชิกของคุณและพวกเขาได้รับ),,,,,
welcome.popup.buildSubscribers.content2,welcome,"We also like to refer to them as constituents and people because you should view them as anyone who should be interested in hearing from you. These people could include employees, customers, investors, suppliers and members of the general public. However, for the sake of consistency, we have adopted “Subscribers” to refer to everyone using the NotifyMe app and receiving your notifications.",เราชอบที่จะพูดถึงผู้ที่สมัครรับการแจ้งเตือนของคุณ  ว่าเป็นส่วนหนึ่งของผู้คน เพราะพวกเขาเป็นคนที่สนใจฟังคุณ คนเหล่านี้อาจรวมถึงพนักงาน ลูกค้า นักลงทุน ซัพพลายเออร์ และประชาชนทั่วไป อย่างไรก็ตามเพื่อความสอดคล้องเราได้ใช้คำว่า “ผู้ติดตาม” เพื่ออ้างอิงถึงทุกคนที่ใช้แอปพลิเคชั่น NotifyMe และรับการแจ้งเตือนของคุณ,,,,,
welcome.popup.buildSubscribers.content3,welcome,You can build your list of subscribers by allowing them to scan your place’s unique QR code or you can invite them via email or SMS.  NotifyMe supports both ways.,คุณสามารถเพิ่มจำนวนผู้ติดตามได้ โดยให้พวกเขาสแกนรหัส QR ของสถานที่ของคุณ หรือคุณสามารถเชิญพวกเขาผ่านทางอีเมล์หรือ SMS ซึ่ง NotifyMe รองรับทั้งสองวิธี,,,,,
welcome.popup.buildSubscribers.content4,welcome,"If you want them to completely opt-in and scan your QR code, simply download your QR code from your Profile. You can then print off multiple copies and place them around your premises in strategic locations or you can even add your QR code to your website. See the image to the left for ideas.",หากคุณต้องการให้พวกเขาสแกนรหัส QR ของคุณ เพียงแค่ดาวน์โหลดรหัส QR จากโปรไฟล์ของคุณ จากนั้นคุณสามารถพิมพ์สำเนาหลายชุดแล้วนำไปวางไว้รอบๆ สถานที่ของคุณ หรือคุณสามารถเพิ่มรหัส QR ลงในเว็บไซต์ของคุณ ดูภาพทางด้านซ้าย,,,,,
welcome.popup.buildSubscribers.content5,welcome,"If you invite them, you can import a CSV file of the subscribers that you plan to invite into the system and then publish the invite to everyone.",อีกวิธีในการเชิญพวกเขา คุณสามารถนำเข้ารายชื่อของผู้ที่มีโอกาสติดตามคุณเข้าสู่ระบบด้วยไฟล์ CSV แล้วเผยแพร่คำเชิญให้ทุกคน,,,,,
welcome.popup.buildSubscribers.content6,welcome,"We provide a CSV template for you to use.  This template has everything you need to correctly import your subscribers.  Please ensure that the data that you import into the system for your subscribers is complete and up to date. We have a lot of validation rules to ensure clean data, but we can’t verify if Kevin’s phone  number actually belongs to him.  We leave that up to you since you know him best.",เรามีการใช้งานที่สนับสนุนไฟล์ CSV เพื่อทำให้การนำเข้ารายชื่อของผู้ที่มีโอกาสติดตามคุณ เป็นไปอย่างถูกต้อง โปรดตรวจสอบให้แน่ใจว่าข้อมูลที่คุณนำเข้าสู่ระบบนั้นสมบูรณ์และถูกต้อง เรามีกฎการตรวจสอบจำนวนมากเพื่อรับรองข้อมูลที่สมบูรณ์ แต่เราไม่สามารถตรวจสอบได้ว่าหมายเลขโทรศัพท์ของผู้ที่มีโอกาสติดตามคุณ เป็นของพวกเขาจริงหรือไม่,,,,,
welcome.popup.buildSubscribers.content7,welcome,We require at least one of a valid email address or a valid phone number per subscriber because the invites are sent out by one or both.,เราต้องการอย่างน้อยหนึ่งที่อยู่อีเมล์ที่ถูกต้องหรือหมายเลขโทรศัพท์ที่ถูกต้องต่อหนึ่งผู้ที่มีโอกาสติดตามคุณ เนื่องจากการเชิญจะถูกส่งโดยหนึ่งในช่องทางการติดต่อ หรือทั้งสองช่องทาง,,,,,
welcome.popup.inviteTeam.content1,welcome,"If you’re a small company, you can probably do it all.  However, if you’re a large organization and have many constituents in a variety of groups, you should invite some of your colleagues to help you.",หากคุณเป็น บริษัท เล็กๆ คุณสามารถทำได้ทั้งหมด อย่างไรก็ตามหากคุณเป็นองค์กรขนาดใหญ่และมีองค์ประกอบหลายอย่างในกลุ่มที่หลากหลาย คุณควรเชิญสมาชิกในทีมของคุณให้ช่วยคุณ,,,,,
welcome.popup.inviteTeam.content2,welcome,"Ideally, Team Members should be logically assigned to Groups of subscribers so that you can divide and conquer in the most logical and effective way.",ตามหลักการแล้วสมาชิกในทีมควรได้รับมอบหมายอย่างสมเหตุสมผลในการจัดการกลุ่มผู้ติดตาม เพื่อให้คุณสามารถจัดการแต่ละกลุ่มได้อย่างมีประสิทธิภาพสูงสุด,,,,,
welcome.popup.inviteTeam.content3,welcome,You create your Team Members in the Team Members menu item in Directory.,สร้างสมาชิกทีมของคุณในเมนูสมาชิกทีมในไดเรกทอรี,,,,,
welcome.popup.inviteTeam.content4.header,welcome,Create Roles and Permissions First,สร้างบทบาทและสิทธิ์การเข้าถึงก่อน,,,,,
welcome.popup.inviteTeam.content4.body,welcome,"In NotifyMe, we make assigning your Team Members to the proper groups easy via Roles and Permissions. Before inviting your team, please set up some Roles and grant them the correct permissions.",ใน NotifyMe เราทำการมอบหมายให้สมาชิกในทีมของคุณไปยังกลุ่มที่เหมาะสมผ่านบทบาทและสิทธิ์การเข้าถึง ก่อนเชิญทีมของคุณโปรดตั้งค่าบทบาทและให้สิทธิ์การเข้าถึงที่ถูกต้องแก่พวกเขา,,,,,
welcome.popup.inviteTeam.content5,welcome,"Generally, if you want to create Team Members to simply send out Notifications, assign them to a role of the type “Author”. First, you’ll have to create the role. You can do this by clicking on Roles and Permissions in Settings and create the Role of type Author.  Give the role a name, choose the groups to which this role can send notifications and then verify the default permissions.  This should take a minute or less.",โดยทั่วไปถ้าคุณต้องการสร้างสมาชิกในทีมเพื่อจัดการส่งการแจ้งเตือน ให้กำหนดบทบาทเป็นประเภท “ผู้เขียน” ก่อนอื่นคุณจะต้องสร้างบทบาท คุณสามารถทำได้โดยคลิกที่บทบาทและสิทธิ์การเข้าถึง ในการตั้งค่าและสร้างบทบาทประเภท “ผู้เขียน”  ตั้งชื่อบทบาทเลือกกลุ่มที่บทบาทนี้สามารถส่งการแจ้งเตือน จากนั้นตรวจสอบสิทธิ์การเข้าถึง ซึ่งขั้นตอนนี้ใช้เวลาไม่เกิน1นาที,,,,,
welcome.popup.inviteTeam.content6,welcome,"If you want someone to help you administer the NotifyMe system, then you can create an Admin role and assign it to them. Just click on Roles and Permissions and create a new role of Admin type and give the role a name.",หากคุณต้องการใครสักคนที่จะช่วยคุณจัดการระบบ NotifyMe คุณสามารถสร้างบทบาท “ผู้ดูแลระบบ” และกำหนดสิทธิ์ให้กับพวกเขา เพียงคลิกที่บทบาทและสิทธิ์การเข้าถึง สร้างบทบาทใหม่ ประเภท “ผู้ดูแลระบบ” และตั้งชื่อบทบาท,,,,,
welcome.popup.inviteTeam.content7.header,welcome,School Example,ตัวอย่างการจัดการในโรงเรียน,,,,,
welcome.popup.inviteTeam.content7.body,welcome,"If you’re a school, let’s assume the headmaster or the principal created the NotifyMe account. The person who first creates the account is granted an Admin role type.",หากสถานที่ของคุณเป็นโรงเรียน สมมุติว่าอาจารย์ใหญ่ สร้างบัญชี NotifyMe บุคคลที่สร้างบัญชีครั้งแรกจะได้รับบทบาทประเภท “ผู้ดูแลระบบ”,,,,,
welcome.popup.inviteTeam.content8,welcome,"He or she may then want to invite all of the teachers in the school so that they can send out notifications to their grade level subscribers (other teachers, parents, and students). Ideally, if the administrator wants to efficiently get all teachers involved, an author role would be created for each grade level (e.g. Second Grade Teacher) and be granted group privileges for all subscribers to that grade level (e.g. Students, Parents, Second Grade Teachers, etc).",จากนั้นเขาหรือเธออาจต้องการเชิญครูทุกคนในโรงเรียน เพื่อให้พวกเขาสามารถส่งการแจ้งเตือนไปยังสมาชิกระดับชั้นประถมศึกษาของพวกเขา (ครูคนอื่นผู้ปกครองและนักเรียน) หากผู้ดูแลระบบต้องการให้ครูทุกคนมีส่วนร่วมอย่างมีประสิทธิภาพ บทบาทประเภท “ผู้เขียน” จะถูกสร้างขึ้นสำหรับแต่ละระดับชั้น (เช่นครูชั้นประถมศึกษาปีที่สอง) และได้รับสิทธิ์การเข้าถึง สำหรับสมาชิกทั้งหมดในระดับชั้นนั้น (เช่นนักเรียนผู้ปกครองครูชั้นประถมศึกษาปีที่สอง ฯลฯ ),,,,,
welcome.popup.inviteTeam.content9,welcome,"NotifyMe supports multiple roles being assigned to one person. So, if your second-grade teacher is also the golf coach, then create both roles, grant permissions to the correct groups (e.g. Second Grade Students, Second Grade Parents,  Golf Team Players, Golf Team Managers, etc) and assign both roles to the team member.",NotifyMe รองรับหลายบทบาทที่กำหนดให้กับคนหนึ่งคน ดังนั้นหากคุณครูที่สองของคุณเป็นโค้ชกอล์ฟด้วย คุณสามารถสร้างทั้งสองบทบาทและให้สิทธิ์การเข้าถึงในกลุ่มที่ถูกต้อง (เช่นนักเรียนเกรดสอง ผู้ปกครองเกรดสอง ผู้เล่นทีมกอล์ฟ ผู้จัดการทีมกอล์ฟ ฯลฯ ) และยังสามารถกำหนดบทบาททั้งสองให้ สมาชิกในทีมได้อีกด้วย,,,,,
welcome.popup.inviteTeam.content10.header,welcome,Golf Course Example,ตัวอย่างการจัดการในธุรกิจสนามกอล์ฟ,,,,,
welcome.popup.inviteTeam.content10.body,welcome,"If you’re a private country club or golf course, then either the GM, the Membership Manager or the Marketing Manager likely created this account with NotifyMe.",หากคุณเป็นหนึ่งในธุรกิจสนามกอล์ฟ มีความเป็นไปได้สูงว่า GM ผู้จัดการสมาชิก หรือผู้จัดการฝ่ายการตลาด อาจเป็นผู้สร้างบัญชี NotifyMe นี้,,,,,
welcome.popup.inviteTeam.content11,welcome,"The typical scenario with our golf course customers, like nearly all businesses, is that they’ll create roles that are aligned with job functions.  For example, they will create the role “Maintenance Manager” and assign it to the person who sends notifications out to maintenance workers.",โดยทั่วไป ลูกค้าประเภทธุรกิจสนามกอล์ฟ มีความคล้ายคลึงกับธุรกิจเกือบทั้งหมด คือพวกเขาจะสร้างบทบาทที่สอดคล้องกับหน้าที่การงาน ตัวอย่างเช่นพวกเขาจะสร้างบทบาท “ผู้จัดการการบำรุงรักษา“ และกำหนดให้กับผู้ที่ส่งการแจ้งเตือนไปยังพนักงานซ่อมบำรุง,,,,,
welcome.popup.inviteTeam.content12,welcome,"After you have your roles created, you can now create your team members.",หลังจากที่คุณสร้างบทบาทไปแล้ว คุณจะสามารถสร้างสมาชิกในทีมได้,,,,,
welcome.popup.inviteSubscribers.content1,welcome,"In the<l1>{linkBuildSubscribers}</l1>section, you learned that you can import your subscribers en masse or create them one by one.  Go back to view that section for review and additional detail.",ในส่วน<l1>{linkBuildSubscribers}</l1> คุณได้เรียนรู้แล้วว่าคุณสามารถนำเข้ารายชื่อผู้ที่มีโอกาสติดตามคุณได้ในอย่างมากมายในครั้งเดียว และคุณยังสามารถเพิ่มรายชื่อทีละรายได้อีกด้วย โปรดกลับไปดู “การเพิ่มผู้ติดตามของคุณ” เพื่อตรวจสอบรายละเอียดเพิ่มเติม,,,,,
welcome.popup.inviteSubscribers.content1.linkBuildSubscribers,welcome,Build your Subscribers,การเพิ่มผู้ติดตามของคุณ ,,,,,
welcome.popup.inviteSubscribers.content2,welcome,We assume that you’ve created your subscribers at this point and are now ready to invite them.  Subscribers can be invited in two ways:  Email and SMS.,หลังจากคุณได้เพิ่มรายชื่อผู้ที่มีโอกาสติดตามคุณเรียบร้อยแล้ว และพร้อมที่จะส่งคำเชิญพวกเขาแล้ว ผู้ที่มีโอกาสติดตามคุณสามารถถูกส่งคำเชิญได้สองวิธีคือ อีเมล์ และ SMS,,,,,
welcome.popup.inviteSubscribers.content3,welcome,"Before inviting your subscribers, we encourage you to do one more thing: ensure that the invite text is appropriate for your organization.  To view and edit the invites, click on Manage Initial Invitation in Settings.",ก่อนเชิญผู้ที่มีโอกาสติดตามคุณ เราขอแนะนำให้คุณทำอีกสิ่งหนึ่ง: ตรวจสอบให้แน่ใจว่าข้อความคำเชิญเหมาะสำหรับองค์กรของคุณ หากต้องการดูและแก้ไขคำเชิญให้คลิกที่ “จัดการการเชิญเริ่มต้น” ในการตั้งค่า,,,,,
welcome.popup.inviteSubscribers.content4,welcome,"If you are ready to send out the invitation, click on the Publish button.  When you click on the Publish button, the system sends out the invitations via email or SMS, depending upon the contact data for each imported subscriber.  If the imported subscriber contains both email address and phone number for a subscriber, then that person will receive the invite in both ways.  Likewise, if the subscriber data contains only email address or phone number, then that subscriber will receive the invite via email or SMS, respectively.",หากคุณพร้อมที่จะส่งคำเชิญให้คลิกที่ปุ่ม “เผยแพร่” เมื่อคุณคลิกที่ปุ่ม “เผยแพร่” ระบบจะส่งคำเชิญผ่านทางอีเมล์ หรือ SMS ขึ้นอยู่กับข้อมูลการติดต่อของผู้ที่มีโอกาสติดตามคุณแต่ละคน หากผู้ที่มีโอกาสติดตามคุณมีทั้งที่อยู่อีเมล์และหมายเลขโทรศัพท์ ผู้ที่มีโอกาสติดตามคุณคนนั้น จะได้รับการเชิญทั้งสองวิธี ในทำนองเดียวกันหากข้อมูลผู้ที่มีโอกาสติดตามคุณ มีเพียงที่อยู่อีเมล์ หรือ หมายเลขโทรศัพท์ ผู้ที่มีโอกาสติดตามคุณจะได้รับเชิญผ่านทางอีเมล์ หรือ SMS ตามลำดับ,,,,,
welcome.popup.inviteSubscribers.content5,welcome,"Once they receive the invite, they can easily install the app vie the embedded intelligent deep link.  If they do not yet have the NotifyMe app, then they’ll be directed to the correct app marketplace depending on their device type.  After that, they’ll add your place and start receiving your notifications in the language of their choice based upon their device’s language settings.  They can change these language settings at any time.",เมื่อพวกเขาได้รับคำเชิญ พวกเขาสามารถติดตั้งแอปพลิเคชั่นได้อย่างง่ายดาย หากพวกเขายังไม่มีแอปพลิเคชั่น NotifyMe พวกเขาจะถูกนำไปที่แหล่งรวมแอปพลิเคชั่นที่ถูกต้อง โดยขึ้นอยู่กับประเภทของอุปกรณ์ หลังจากนั้นพวกเขาจะเพิ่มสถานที่ของคุณและเริ่มรับการแจ้งเตือนในภาษาที่พวกเขาเลือกตามการตั้งค่าภาษาของอุปกรณ์ พวกเขาสามารถเปลี่ยนการตั้งค่าภาษาเหล่านี้ได้ตลอดเวลา,,,,,
welcome.popup.inviteSubscribers.content6,welcome,"If they already have the NotifyMe app because they’ve already been invited by another place, then when they click on the link (in an email or SMS on their device running NotifyMe), then they’ll automatically be taken to your place profile in the app and be asked to accept or Deny your invitation request.",หากพวกเขามีแอปพลิเคชั่น NotifyMe อยู่แล้ว เมื่อพวกเขาคลิกที่ลิงค์ (ในอีเมล์ หรือ SMS บนอุปกรณ์ที่ใช้ NotifyMe) พวกเขาจะถูกนำไปที่โปรไฟล์ของคุณโดยอัตโนมัติในแอปพลิเคชั่น และถูกขอให้ยอมรับหรือปฏิเสธคำเชิญของคุณ,,,,,
welcome.popup.inviteSubscribers.content7,welcome,"As you can see, we’ve made it simple for you.",อย่างที่คุณเห็นเราทำให้มันง่ายสำหรับคุณ,,,,,
welcome.popup.createNotification.content1,welcome,"This is the first notification that your subscribers will receive once they subscribe to your place.  You may want to use it to just welcome them to your notification feed.  We, you and your subscribers can use this to be sure that notifications are working and that the device settings where NotifyMe is running are able to receive notifications properly.",นี่เป็นการแจ้งเตือนครั้งแรก ที่ผู้ติดตามคุณจะได้รับเมื่อพวกเขากดติดตามเพื่อรับข้อมูลสถานที่ของคุณ คุณอาจต้องการใช้มันเพื่อต้อนรับพวกเขาไปยังฟีดการแจ้งเตือนของคุณ  คุณสามารถใช้สิ่งนี้เพื่อตรวจสอบให้แน่ใจว่าการแจ้งเตือนได้ทำงานอย่างถูกต้อง และการตั้งค่าอุปกรณ์ที่ NotifyMe ทำงานอยู่นั้น สามารถรับการแจ้งเตือนได้อย่างถูกต้องเช่นกัน,,,,,
welcome.popup.firstNotification.content1,welcome,That’s it.  You’re ready to send your first notification.,คุณพร้อมที่จะส่งการแจ้งเตือนครั้งแรกแล้ว,,,,,
welcome.popup.firstNotification.content2,welcome,"<b>{notificationTimeline}</b> All of the notifications sent by your team will be available in the Notification Timeline. At this point, sent notifications cannot be deleted.  This is an intentional limitation to prevent abuse.",<b>{notificationTimeline}</b> การแจ้งเตือนทั้งหมดที่ส่งโดยทีมของคุณจะปรากฏในไทม์ไลน์การแจ้งเตือน ทั้งนี้การแจ้งเตือนที่ส่งไปแล้วไม่สามารถลบได้ นี่เป็นข้อจำกัดโดยเจตนาเพื่อป้องกันการใช้ในทางที่ผิด,,,,,
welcome.popup.firstNotification.content2.fontBold,welcome,Notification Timeline:,ไทม์ไลน์การแจ้งเตือน,,,,,
welcome.popup.firstNotification.content3,welcome,"The visibility of notifications in the Notification Timeline to team members is restricted by roles and permissions.  So, if the CEO is assigned an authoring role with Group permissions for “The Board” and sends a sensitive PDF file to the group “The Board”, then only people with permissions to that group will even see that the notification was sent.",การเปิดเผยการแจ้งเตือนใน ไทม์ไลน์การแจ้งเตือนต่อสมาชิกในทีม ถูกจำกัดโดยบทบาทและสิทธิ์การเข้าถึง ดังนั้นหาก CEO ได้รับมอบหมายบทบาทที่มีการอนุญาตกลุ่มสำหรับ“ คณะกรรมการ” และส่งไฟล์ PDF ที่ละเอียดอ่อนไปยังกลุ่ม “คณะกรรมการ” ผู้ที่จะเห็นว่ามีการส่งการแจ้งเตือน คือผู้ที่มีสิทธิ์ในกลุ่มนั้นเท่านั้น,,,,,
welcome.popup.firstNotification.content4,welcome,People who have Admin roles can see all notifications and have all functional permissions.,ผู้ที่มีบทบาท “ผู้ดูแลระบบ” สามารถดูการแจ้งเตือนทั้งหมดได้และมีสิทธิ์การใช้งานทั้งหมด,,,,,
welcome.popup.firstNotification.content5,welcome,"<b>{translationsBold}</b> The NotifyMe app detects the language preferences of your subscribers and automatically translates your Notifications into the most comfortable language that your subscribers want. There is nothing for you to do. If you’re interested in seeing the language preferences of your subscribers, <b>{optionBold}</b>",<b>{translationsBold}</b> แอปพลิเคชั่น NotifyMe ตรวจจับการตั้งค่าภาษาของผู้ติดตามคุณและแปลการแจ้งเตือนของคุณเป็นภาษาที่ผู้ติดตามคุณต้องการ หากคุณสนใจที่จะดูการตั้งค่าภาษาของผู้ติดตามคุณ  <b>{optionBold}</b>,,,,,
welcome.popup.firstNotification.content5.translations,welcome,Translations:,การแปลภาษา,,,,,
welcome.popup.firstNotification.content5.option,welcome,you have two options:,มีสองตัวเลือก,,,,,
welcome.popup.firstNotification.content5.option.text1,welcome,1. Preview the notification before sending and view the notification in all languages of the selected groups,1. ดูตัวอย่างการแจ้งเตือนก่อนส่งและดูการแจ้งเตือนในทุกภาษาของกลุ่มที่เลือก,,,,,
welcome.popup.firstNotification.content5.option.text2,welcome,2. View the sent notification in your Notification Timeline and click on the preferred language in the “View in” field.,2. ดูการแจ้งเตือนที่ถูกส่งในไทม์ไลน์การแจ้งเตือนของคุณและคลิกภาษาที่ต้องการในช่อง “ดูในภาษา”,,,,,
welcome.popup.firstNotification.content6,welcome,"<b>{chromeGrammarly}</b> While we support all modern browsers, please try to use the Chrome browser and install the Grammarly plugin.  The higher the quality of your source language (we call it authoring language) will ensure higher quality translations.",<b>{chromeGrammarly}</b> ในขณะที่เรารองรับเบราว์เซอร์ที่ทันสมัยทั้งหมดโปรดลองใช้เบราว์เซอร์ Chrome และติดตั้งปลั๊กอิน Grammarly จะยิ่งทำให้คุณภาพของภาษาต้นฉบับของคุณสูงขึ้น (เราเรียกว่าภาษาที่ใช้เขียน) ซึ่งจะช่วยส่งผลให้การแปลมีคุณภาพมากขึ้นอีกด้วย,,,,,
welcome.popup.firstNotification.content6.fontBold,welcome,Chrome and Grammarly:,Chrome and Grammarly:,,,,,
welcome.popup.firstNotification.content7,welcome,"<b>{unsendingNotification}</b> If you make a mistake and send out an incomplete notification, you can Unsend it and it will disappear from your subscriber’s notification feed. However, for historical and audit purposes, you will always have access to unsent notifications in your Notification Timeline.  Of course, they will be marked as Unsent.",<b>{unsendingNotification}</b> หากคุณทำผิดพลาดและส่งการแจ้งเตือนที่ไม่สมบูรณ์ คุณสามารถยกเลิกการส่งได้ และการแจ้งเตือนนั้นจะหายไปจากฟีดการแจ้งเตือนของผู้ติดตามคุณ อย่างไรก็ตามเพื่อจุดประสงค์ด้านประวัติและการตรวจสอบคุณจะสามารถเข้าถึงการแจ้งเตือนที่ไม่ได้ส่งในไทม์ไลน์การแจ้งเตือนของคุณ แน่นอนว่าการแจ้งเตือนนั้นจะถูกทำเครื่องหมายว่าไม่ได้ส่ง,,,,,
welcome.popup.firstNotification.content7.fontBold,welcome,Unsending Notifications:,การแจ้งเตือนที่ไม่ถูกส่ง,,,,,
welcome.popup.firstNotification.content8,welcome,"<b>{notificationMetrics}</b> If you want to see delivery and feedback metrics for a notification that you’ve sent, click on “View Metric Detail” underneath the notification in the Notification Timeline.  You’ll see all kinds of interesting details appear such as % Delivered, % Not Delivered, Translation Ratings, User Reactions and whether any attached media was opened and where it was opened. This is important for you to evaluate the effectiveness of the message that your notifications are conveying.","<b>{notificationMetrics}</b> หากคุณต้องการดูตัวชี้วัดการจัดส่งและข้อเสนอแนะสำหรับการแจ้งเตือนที่คุณส่ง ให้คลิกที่ “ดูรายละเอียดตัวชี้วัด“ ใต้การแจ้งเตือนในไทม์ไลน์การแจ้งเตือน คุณจะเห็นรายละเอียดที่น่าสนใจทุกประเภทปรากฏเช่น % ส่งสำเร็จ % ส่งไม่สำเร็จ, การให้คะแนนการแปลภาษาการแจ้งเตือน, การตอบสนองของผู้ใช้ต่อข้อความการแจ้งเตือน และไม่ว่าจะเปิดสื่อที่แนบมาหรือไม่และเปิดที่ไหน นี่เป็นสิ่งสำคัญสำหรับคุณในการประเมินประสิทธิภาพของข้อความ ที่คุณส่งการแจ้งเตือนไปยังผู้ติดตามคุณ",,,,,
welcome.popup.firstNotification.content8.fontBold,welcome,Notification Metrics:,ตัวชี้วัดการแจ้งเตือน,,,,,
welcome.popup.firstNotification.content9,welcome,"<b>{notificationComment}</b> if you have multiple team members communicating with your subscribers, we have a team commenting feedback loop so that your place can apply continuous improvement processes to your notification communication strategy.  Just like your friends commenting on your Facebook or LinkedIn posts, we have a comment section for each notification in your Notification Timeline.  However, rather than public commenting, this is reserved for Team Member feedback only.",<b>{notificationComment}</b> หากคุณมีสมาชิกในทีมหลายคนที่สื่อสารกับผู้ติดตามคุณ เรามีทีมที่ให้ความสำคัญกับการแสดงความคิดเห็น เพื่อให้สถานที่ของคุณสามารถใช้กระบวนการนี้ ปรับปรุงกลยุทธ์การสื่อสารการแจ้งเตือนของคุณอย่างต่อเนื่อง เช่นเดียวกับเพื่อนของคุณแสดงความคิดเห็นใน Facebook หรือโพสต์ LinkedIn ของคุณ เรามีส่วนแสดงความคิดเห็นสำหรับการแจ้งเตือนแต่ละรายการในไทม์ไลน์การแจ้งเตือนของคุณ อย่างไรก็ตามแทนที่จะแสดงความคิดเห็นต่อสาธารณะสิ่งนี้สงวนไว้สำหรับความคิดเห็นของสมาชิกทีมเท่านั้น,,,,,
welcome.popup.firstNotification.content9.fontBold,welcome,Notification Comments:,การแสดงความคิดเห็นการแจ้งเตือน:,,,,,
